Date,Open,High,Low,Close,Adj Close,Volume
2012-08-27,189.024994,189.940002,181.514999,183.735001,169.976364,113672130
2012-09-03,185.000000,190.199997,182.699997,189.205002,175.036728,96041390
2012-09-10,189.899994,197.500000,184.500000,197.149994,182.386780,112007740
2012-09-17,200.600006,224.250000,200.600006,221.320007,204.746841,172162100
2012-09-24,221.500000,227.800003,217.145004,224.059998,207.281677,138178590
2012-10-01,224.240005,236.255005,201.029999,233.945007,216.426468,106077670
2012-10-08,234.050003,234.050003,219.139999,225.175003,208.313171,106690050
2012-10-15,224.800003,228.500000,220.210007,225.774994,208.868256,94442080
2012-10-22,222.699997,226.794998,216.100006,217.335007,201.060287,74852090
2012-10-29,217.285004,220.445007,205.755005,215.244995,199.126740,124710560
2012-11-05,214.289993,226.934998,212.820007,215.505005,199.367310,146214140
2012-11-12,216.509995,219.490005,210.110001,210.845001,195.056259,71096290
2012-11-19,212.399994,212.399994,204.100006,208.949997,193.303162,92151800
2012-11-26,209.649994,218.699997,208.000000,217.029999,200.778107,71768830
2012-12-03,218.000000,233.960007,217.350006,231.619995,214.275528,113856060
2012-12-10,232.240005,233.854996,225.384995,232.024994,214.650238,91031540
2012-12-17,231.875000,240.815002,227.899994,233.445007,215.963913,115282630
2012-12-24,234.000000,239.750000,232.300003,237.949997,220.131531,56662120
2012-12-31,237.000000,249.294998,236.865005,248.669998,230.048798,75678330
2013-01-07,249.000000,255.169998,246.175003,249.104996,230.451233,84523840
2013-01-14,249.100006,251.994995,242.300003,249.205002,230.543762,74495960
2013-01-21,249.500000,252.479996,244.054993,251.369995,232.546616,69957010
2013-01-28,252.500000,253.500000,240.100006,241.235001,223.170547,128441320
2013-02-04,241.750000,242.925003,227.610001,228.615005,211.495575,86245760
2013-02-11,228.990005,232.324997,217.500000,223.345001,206.620209,137757180
2013-02-18,223.500000,228.714996,219.005005,219.600006,203.155640,85761570
2013-02-25,221.000000,223.899994,205.100006,208.764999,193.132004,127840490
2013-03-04,208.740005,221.895004,207.649994,220.949997,204.404541,90117110
2013-03-11,220.940002,227.380005,216.520004,226.199997,209.261414,112875570
2013-03-18,223.770004,226.970001,207.600006,208.395004,192.789719,127866480
2013-03-25,212.490005,212.505005,202.710007,207.274994,191.753601,57710130
2013-04-01,208.500000,215.695007,204.199997,205.669998,190.268784,80696210
2013-04-08,205.740005,209.699997,197.610001,208.179993,192.590820,87539570
2013-04-15,206.300003,231.255005,206.259995,229.964996,212.744476,78954270
2013-04-22,230.639999,236.000000,226.600006,228.794998,211.662094,65306520
2013-04-29,230.199997,232.684998,220.600006,221.380005,204.802368,85506180
2013-05-06,220.554993,232.679993,218.300003,229.360001,212.184784,88492030
2013-05-13,230.500000,243.910004,226.639999,242.485001,224.326965,99441230
2013-05-20,243.000000,247.199997,212.740005,215.119995,199.011139,151194440
2013-05-27,215.399994,218.330002,204.205002,204.675003,189.348297,105764790
2013-06-03,204.809998,208.399994,200.649994,202.414993,190.922134,104177520
2013-06-10,204.000000,205.899994,197.065002,204.585007,192.968933,113574630
